"Item","Description","Quantity","Cost","Price"
"POWER SUPPLY:500 WATTS DARKFLASH 6","500 WATTS DARKFLASH 6 POWER SUPPLY | 6 MONTHS WARRANTY | 1 WEEK REPLACEMENT",0,1575.00,2025.00
"POWER SUPPLY:500W AVR SECURE","AVR SECURE 500W",9,212.30,289.50
"POWER SUPPLY:500W FUZION TRUE RATED","500 WATTS FUZION TRUE RATED POWER SUPPLY | 3 MONTHS WARRANTY | 3 DAYS REPLACEMENT ONLY",3,1100.00,1680.00
"POWER SUPPLY:500W GS500 80 PLUS HUNTKEY","HUNTKEY 500 WATTS GS500 80 PLUS CERTIFIED",0,1845.00,2332.80
"POWER SUPPLY:500W TRUE RATED 2ND HAND","SECOND HAND 500 WATTS TRUE RATED POWER SUPPLY",1,495.00,652.50
"POWER SUPPLY:500W X-POWER 80 PLUS XIGMATEK","XIGMATEK X-POWER 500 WATTS 80 PLUS | OVP, OPP, UVP",0,2268.00,2835.00
"POWER SUPPLY:600 WATTS DARKFLASH 6","600 WATTS DARKFLASH 6 POWER SUPPLY | 6 MONTHS WARRANTY | 1 WEEK REPLACEMENT",2,1925.00,2475.00
"POWER SUPPLY:600W GS600 80+ HUNTKEY","HUNTKEY GS600 600 WATTS 80+ CERTIFIED",0,2298.699,2947.05
"POWER SUPPLY:600W X-POWER 80+ XIGMATEK","XIGMATEK X-POWER 600W 80+ |  ATX12V 2.3",0,2430.00,2925.00
"POWER SUPPLY:650W GX-S 80+ GOLD COUGAR","COUGAR GX-S 650W 80+ GOLD CERTIFIED | ATX12V 2.3",0,3759.21,4284.00
"POWER SUPPLY:650W RED GENERIC PENBLE","PENBLE 650W RED GENERIC |  ATX 12V 2.2 | JUMBO FAN",0,585.00,652.50
"POWER SUPPLY:700 WATTS TEHI FUZION","TEHI FUZION 700 WATTS  BIG FAN / 1 YR WARRANTY/ 1 WEEK OUTRIGHT REPLACEMENT ONLY",3,415.80,549.00
"POWER SUPPLY:700W ELECTRON","700 WATTS ELECTRON POWER SUPPLY/..1 Week outright Replacement / 6 Months warrany",0,414.70,565.50
"POWER SUPPLY:700W GENERIC VALIANT","VALIANT 700W GENERIC",0,410.30,559.50
"POWER SUPPLY:700W GS700 80+ HUNTKEY","HUNTKEY 700W GS700 80+ CERTIFIED | 12V",0,2726.19,3424.20
"POWER SUPPLY:700W IN200B COATED BLACK INPLAY","INPLAY 700W IN200B COATED BLACK POWER SUPPLY UNIT",0,408.10,556.50
"POWER SUPPLY:COOLER MASTER WHITE 500W 230V","COOLER MASTER WHITE 500W 230V 80 PLUS STANDARD 230V EU CERTIFIED POWER SUPPLY",1,2211.69,2790.45
"POWER SUPPLY:REDRAGON RGPS-500W","REDRAGON RGPS-500W GAMING PSU",0,1925.00,2598.75
"PRINTER:EPSON L3110 ECO TANK ALL IN ONE","EPSON L3110 ECO TANK ALL IN ONE | PRINT, SCAN, COPY | MAX A4, LETTER | 300X300 DPI | COLOUR, BLK...",1,8046.00,8948.57
"PRINTER:HP SMART TANK 515 WIRELESS","HP SMART TANK 515 WIRELESS ALL-IN-ONE | PRINT, SCAN, COPY | HP THERMAL INKJET | 216 x 297MM MAX ...",0,8502.12,9876.20
