"Item","Description","Quantity","Cost","BranchCost","Price"
"CHASSIS:KEYTECH T1000","KEYTECH T1000 WITH 4 PCS RGB FAN | TEMPERED SIDE PANEL | ATX, MATX, MINI ITXT | 1 MONTH WARRANTY...",0,1431.00,1574.1,1931.85
"CHASSIS:KEYTECH T850","KEYTECH T850 TEMPERED GLASS GAMING CASE",0,954.00,1049.4,1335.60
"CHASSIS:MSI MAG VAMPIRIC 100R","MSI MAG VAMPIRIC 100R ARGB FLOW TEMPERED SIDE PANEL MID TOWER CASE | 1 MONTH WARRANTY ON ELECTRO...",1,2889.00,3177.9,3755.70
"CHASSIS:NEUTRON ODESSY","NEUTRON ODESSY 165-2 CASE ONLY | NO POWER SUPPLY | 3 DAYS TESTING ELECTRICAL WARRANTY",0,385.00,423.5,577.50
"CHASSIS:NOVUS VERTEX 910","NOVUS VERTEX 910 DESKTOP CASE",0,534.00,587.4,763.62
"CHASSIS:NOVUS VERTEX 920","VERTEX 920 DESKTOP CASE 7 DAYS WARRANTY ON ELECTRONICS PARTS ONLY",0,534.00,587.4,763.62
"CHASSIS:NOVUS VERTEX 950","NOVUS VERTEX 950 | ACRYLIC SIDE PANEL | FIT TO ATX TO MATX | 2*HDD, 2*SSD, 1*FDD, 2*CD | W/ 3PCS...",0,798.00,877.8,1117.20
"CHASSIS:RAKK ANYAG TEMPERED WHITE Gamin","RAKK ANYAG TEMPERED WHITE Gaming Case FROST",1,1272.00,1717.20,1717.20
"CHASSIS:SHARKOON TG4","SHARKOON TG4 RGB ATX GAMING CASE | MINI-ITX, MICRO-ATX, ATX | 3X120MM RGB FAN, 1X120MM RGB FAN I...",0,2729.00,3001.9,3547.70
"CHASSIS:VIKINGS SHIELD VK-S23","VIKINGS SHIELD VKS-23 RGB W/ 3 12CM FAN GAMING TEMPERED GLASS HIGH END CASE | 1 YEAR WARRANTY",0,2530.00,2783,3289.00
"CHASSIS:VIKINGS SHIELD VK-S30","VIKING VS-S30 HIGH END CASE W/ 3 RGB COOLING FAN | 1 YEAR WARRANTY",1,2530.00,2783,3289.00
"COMPUTER TABLE:CT 01872","CT 01872 120X40 COMPUTER TABLE",1,1100.00,1210,1485.00
"COMPUTER TABLE:KENSONIC TC-6810 COMPUTER TABLE","KENSONIC TC-6810 COMPUTER TABLE | 1WEEK WARRANTY ON PARTS ONLY",0,935.00,1028.5,1309.00
"CPU COOLER:INPLAY AIO ICE 120 BLACK","INPLAY ICE 120 BLACK ARGB LIQUID COOLING FAN / 1 MONTH WARRANTY 1 WEEK OUTRIGHT REPLACEMENT",1,1332.00,1465.2,1798.20
"CPU COOLER:INPLAY AIO ICE 240 BLACK","INPLAY AIO 240 ARGB BLACK LIQUID COOLING FAN / 1 MONTH WARRANTY 1 WEEK OUTRIGHT REPLACEMENT",0,1865.00,2051.5,2517.75
"CPU COOLER:INPLAY AIO ICE 240 WHITE","INPLAY AIO ICE 240 WHITE ARGB LIQUID COOLING FAN / 1 MONTH WARRANTY 1 WEEK OUTRIGHT REPLACEMENT",0,2047.50,2252.25,2764.13
